ck_id,matrix_id,title,source,source_file,source_line,status,severity,domain,decision,phase_owner,notes
CK-110-0939,CK-110-M015,The application dynamically constructs file or path information.,codacy,internal/storage/restore.go,1332,triaged,S1,restore,include,Phase 6,v1.10.5 representative issue linked from selected matrix row
CK-110-0334,CK-110-M016,The application was found setting directory permissions to overly permissive values.,codacy,internal/storage/restore.go,938,triaged,S1,restore,include,Phase 6,v1.10.5 representative issue linked from selected matrix row
CK-110-1503,CK-110-M017,"`restore --stored-path "" ...` has the same empty-flag fallthrough",external-audit,docs/release/v1.10/evidence/third_party_coldkeep_v1.9.0_code_analysis.baseline.txt,,triaged,S1,restore,include,Phase 3,v1.10.5 representative issue linked from selected matrix row
CK-110-0083,CK-110-M037,Method quarantineOrphanContainers has 103 lines of code (limit is 50),codacy,internal/recovery/system_recovery.go,437,triaged,S1,recovery,include,Phase 8,v1.10.5 representative issue linked from selected matrix row
CK-110-0029,CK-110-M038,File internal/storage/restore.go has 976 non-comment lines of code,codacy,internal/storage/restore.go,1,triaged,S1,restore,include,Phase 8,v1.10.5 representative issue linked from selected matrix row
CK-110-1500,CK-110-M087,`restore` accepts and ignores `--mode` without `--stored-path`,external-audit,docs/release/v1.10/evidence/third_party_coldkeep_v1.9.0_code_analysis.baseline.txt,,triaged,S1,tooling,include,Phase 8,v1.10.5 representative issue linked from selected matrix row
CK-110-0082,CK-110-M064,Method TestQuarantineOrphanContainersResyncsExistingQuarantineSizeDrift has a cyclomatic complexity of 12 (limit is 8),codacy,internal/recovery/system_recovery_test.go,89,triaged,S3,recovery,defer,Phase 9,v1.10.5 representative issue linked from selected matrix row
CK-110-0427,CK-110-M065,"Detected string concatenation with a non-literal variable in a ""database/sql"" Go SQL statement.",codacy,internal/recovery/system_recovery_test.go,47,triaged,S3,recovery,defer,Phase 9,v1.10.5 representative issue linked from selected matrix row
CK-110-0001,CK-110-M066,Method TestRestoreOptionsOverwriteFalseRejectsExistingDestination has 91 lines of code (limit is 50),codacy,internal/storage/restore_test.go,2132,triaged,S3,restore,defer,Phase 9,v1.10.5 representative issue linked from selected matrix row
CK-110-0017,CK-110-M067,The application was found setting file permissions to overly permissive values.,codacy,tests/adversarial/g1_deterministic_restore_adversarial_test.go,131,triaged,S3,restore,defer,Phase 9,v1.10.5 representative issue linked from selected matrix row
