matrix_id,title,source_status,source_severity,domain,decision,phase_owner,reason,expected_behavior,notes
CK-110-M001,Review dynamic SQL scanner findings,triaged,S1,migration,exclude,Phase 4,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M002,Review dynamic SQL scanner findings,triaged,S1,snapshot,exclude,Phase 2,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M003,Filesystem permission scanner findings must be reviewed by runtime area and threat model,triaged,S1,snapshot,exclude,Phase 2,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M004,Review dynamic SQL scanner findings,triaged,S1,storage,exclude,Phase 4,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M005,Review dynamic filesystem path scanner findings,triaged,S1,storage,exclude,Phase 4,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M006,Filesystem permission scanner findings must be reviewed by runtime area and threat model,triaged,S1,storage,exclude,Phase 4,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M007,Randomness scanner findings must distinguish deterministic tests/benchmarks from cryptographic u,triaged,S1,storage,exclude,Phase 4,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M008,Stabilize JSON shorthand and machine output contract,fixed,S1,json,exclude,Phase 2,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M009,Resolve Go toolchain vulnerability baseline,triaged,S1,dependencies,exclude,Phase 4,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M010,Review dynamic filesystem path scanner findings,triaged,S1,filesystem,exclude,Phase 4,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M011,Filesystem permission scanner findings must be reviewed by runtime area and threat model,triaged,S1,filesystem,exclude,Phase 4,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M012,Review dynamic SQL scanner findings,triaged,S1,security,exclude,Phase 4,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M013,Reject empty or whitespace-only filters,triaged,S1,validation,exclude,Phase 2,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M014,Review dynamic SQL scanner findings,triaged,S1,gc,include,Phase 3,Root invariant belongs to v1.10.4 GC reachability/deletion correctness scope and requires implementation-phase validation.,"GC SQL-backed reachability and candidate queries must remain deterministic, safe, and equivalent between dry-run and destructive execution planning.",Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M015,Review dynamic filesystem path scanner findings,triaged,S1,restore,exclude,Phase 4,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M016,Filesystem permission scanner findings must be reviewed by runtime area and threat model,triaged,S1,restore,exclude,Phase 4,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M017,Restore mode value flags must reject empty values before fallback behavior,triaged,S1,restore,exclude,Phase 2,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M018,Command execution findings must be reviewed for trusted executable and argument boundaries,triaged,S1,benchmark,exclude,Phase 4,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M019,Review dynamic filesystem path scanner findings,triaged,S1,benchmark,exclude,Phase 4,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M020,Filesystem permission scanner findings must be reviewed by runtime area and threat model,triaged,S1,benchmark,exclude,Phase 3,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M021,Randomness scanner findings must distinguish deterministic tests/benchmarks from cryptographic u,triaged,S1,benchmark,exclude,Phase 3,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M022,Codacy finding must be classified before enforcement,triaged,S1,ci,exclude,Phase 4,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M023,Command execution findings must be reviewed for trusted executable and argument boundaries,triaged,S1,codacy,exclude,Phase 4,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
CK-110-M024,Review production complexity hotspots,triaged,S2,migration,exclude,Phase 4,Candidate matched broad keywords but root invariant is outside v1.10.4 GC reachability/deletion correctness release scope.,,Phase 0 triage decision recorded for v1.10.4 scope control.
