matrix_id,title,source_status,source_severity,domain,decision,phase_owner,reason,expected_behavior,notes
CK-110-M001,Review dynamic SQL scanner findings,triaged,S1,migration,review,Phase 8,Candidate selected by v1.10.2 validation/security scan; requires manual triage.,,
CK-110-M002,Review dynamic SQL scanner findings,triaged,S1,snapshot,review,Phase 8,Candidate selected by v1.10.2 validation/security scan; requires manual triage.,,
CK-110-M005,Review dynamic filesystem path scanner findings,triaged,S1,storage,include,Phase 1,Included in v1.10.2 because invariant maps directly to validation/security hardening roadmap scope.,Filesystem path handling must use centralized normalization and reject traversal before filesystem joins.,
CK-110-M009,Resolve Go toolchain vulnerability baseline,triaged,S1,dependencies,include,Phase 9,Included in v1.10.2 because invariant maps directly to validation/security hardening roadmap scope.,Go/toolchain dependency baseline must be upgraded to remediate known CVEs.,
CK-110-M010,Review dynamic filesystem path scanner findings,triaged,S1,filesystem,include,Phase 1,Included in v1.10.2 because invariant maps directly to validation/security hardening roadmap scope.,Filesystem-facing paths must be canonicalized and validated against trust boundaries before use.,
CK-110-M011,Filesystem permission scanner findings must be reviewed by runtime area and threat model,triaged,S1,filesystem,include,Phase 2,Included in v1.10.2 because invariant maps directly to validation/security hardening roadmap scope.,Container filename inputs and DB-derived filenames must be validated before join/open operations.,
CK-110-M012,Review dynamic SQL scanner findings,triaged,S1,security,include,Phase 8,Included in v1.10.2 because invariant maps directly to validation/security hardening roadmap scope.,Security-sensitive database option parsing/escaping must avoid unsafe string composition paths.,
CK-110-M013,Reject empty or whitespace-only filters,triaged,S1,validation,include,Phase 7,Included in v1.10.2 because invariant maps directly to validation/security hardening roadmap scope.,Security-sensitive value parsing must reject empty/whitespace and malformed config inputs deterministically.,
CK-110-M015,Review dynamic filesystem path scanner findings,triaged,S1,restore,include,Phase 4,Included in v1.10.2 because invariant maps directly to validation/security hardening roadmap scope.,Restore destination handling must reject unsafe destinations and prevent boundary escape.,Scope-split: source release_target=v1.10.5; v1.10.2 includes only validation/security hardening subset.
CK-110-M017,Restore mode value flags must reject empty values before fallback behavior,triaged,S1,restore,defer,Phase 3,Primary ownership remains v1.10.5; excluded from v1.10.2 unless explicitly scope-split later.,,
CK-110-M019,Review dynamic filesystem path scanner findings,triaged,S1,benchmark,defer,Phase 1,Primary ownership remains v1.10.6; excluded from v1.10.2 unless explicitly scope-split later.,,
CK-110-M024,Review production complexity hotspots,triaged,S2,migration,defer,Phase 1,Primary ownership remains backlog; excluded from v1.10.2 unless explicitly scope-split later.,,
CK-110-M025,Review production complexity hotspots,triaged,S2,snapshot,defer,Phase 1,Primary ownership remains backlog; excluded from v1.10.2 unless explicitly scope-split later.,,
