ck_id,matrix_id,title,source,source_file,source_line,status,severity,domain,decision,phase_owner,notes
CK-110-0031,CK-110-M060,Method TestStorageBlockReaderCompressedHashMismatchEncryptedBeforeDecompress has a cyclomatic complexity of 10,codacy,internal/storage/storage_block_reader_test.go,600,triaged,S3,packed-storage,defer,Phase 7,v1.10.3 candidate issue linked from selected matrix row
CK-110-0051,CK-110-M060,Method  has 53 lines of code (limit is 50),codacy,internal/storage/storage_block_reader_test.go,1056,triaged,S3,packed-storage,defer,Phase 7,v1.10.3 candidate issue linked from selected matrix row
CK-110-0143,CK-110-M035,Method loadBlockMetadata has 70 lines of code (limit is 50),codacy,internal/storage/storage_block_reader.go,251,triaged,S2,packed-storage,include,Phase 1,v1.10.3 candidate issue linked from selected matrix row
CK-110-0145,CK-110-M035,Method mapVerifyPipelineFailure has a cyclomatic complexity of 9 (limit is 8),codacy,internal/storage/storage_block_reader.go,192,triaged,S2,packed-storage,include,Phase 1,v1.10.3 candidate issue linked from selected matrix row
CK-110-0272,CK-110-M060,Method TestStorageBlockReaderLogicalHashMismatchRemainsCanonical has a cyclomatic complexity of 9 (limit is 8),codacy,internal/storage/storage_block_reader_test.go,649,triaged,S3,packed-storage,defer,Phase 7,v1.10.3 candidate issue linked from selected matrix row
CK-110-0302,CK-110-M060,Method setupStoredBlockFixtureForReaderCorruption has 53 lines of code (limit is 50),codacy,internal/storage/storage_block_reader_test.go,333,triaged,S3,packed-storage,defer,Phase 7,v1.10.3 candidate issue linked from selected matrix row
CK-110-0418,CK-110-M060,Method setupStoredBlockFixtureForReaderCorruption has a cyclomatic complexity of 9 (limit is 8),codacy,internal/storage/storage_block_reader_test.go,333,triaged,S3,packed-storage,defer,Phase 7,v1.10.3 candidate issue linked from selected matrix row
CK-110-0696,CK-110-M060,Method TestStorageBlockReaderCorruptedChunkRefsDoNotProduceSilentInvalidRestore has a cyclomatic complexity of,codacy,internal/storage/storage_block_reader_test.go,939,triaged,S3,packed-storage,defer,Phase 7,v1.10.3 candidate issue linked from selected matrix row
CK-110-0721,CK-110-M060,Method assertRestoreVerifyStageCompatibility has a cyclomatic complexity of 9 (limit is 8),codacy,internal/storage/storage_block_reader_test.go,1019,triaged,S3,packed-storage,defer,Phase 7,v1.10.3 candidate issue linked from selected matrix row
CK-110-0807,CK-110-M060,Method TestStorageBlockReaderEncryptedPlaintextSizeMismatchDetectedWithoutPartialOutput has a cyclomatic compl,codacy,internal/storage/storage_block_reader_test.go,849,triaged,S3,packed-storage,defer,Phase 7,v1.10.3 candidate issue linked from selected matrix row
CK-110-0831,CK-110-M060,Method TestStorageBlockReaderLogicalHashMismatchOnCompressedFixture has a cyclomatic complexity of 9 (limit is,codacy,internal/storage/storage_block_reader_test.go,964,triaged,S3,packed-storage,defer,Phase 7,v1.10.3 candidate issue linked from selected matrix row
CK-110-0916,CK-110-M035,Method loadBlockMetadata has a cyclomatic complexity of 10 (limit is 8),codacy,internal/storage/storage_block_reader.go,251,triaged,S2,packed-storage,include,Phase 1,v1.10.3 candidate issue linked from selected matrix row
CK-110-0949,CK-110-M060,Method TestStorageBlockReaderLoadBlockMetadataIncludesTransformAwareFields has a cyclomatic complexity of 15 (,codacy,internal/storage/storage_block_reader_test.go,207,triaged,S3,packed-storage,defer,Phase 7,v1.10.3 candidate issue linked from selected matrix row
CK-110-1084,CK-110-M060,Method TestStorageBlockReaderPhysicalHashMismatchOnFlippedByte has a cyclomatic complexity of 11 (limit is 8),codacy,internal/storage/storage_block_reader_test.go,439,triaged,S3,packed-storage,defer,Phase 7,v1.10.3 candidate issue linked from selected matrix row
CK-110-1127,CK-110-M061,The application dynamically constructs file or path information.,codacy,internal/storage/storage_block_reader_test.go,398,triaged,S3,packed-storage,defer,Phase 7,v1.10.3 candidate issue linked from selected matrix row
CK-110-1206,CK-110-M060,Method TestStorageBlockReaderLoadBlockMetadataIncludesTransformAwareFields has 53 lines of code (limit is 50),codacy,internal/storage/storage_block_reader_test.go,207,triaged,S3,packed-storage,defer,Phase 7,v1.10.3 candidate issue linked from selected matrix row
CK-110-1325,CK-110-M061,The application dynamically constructs file or path information.,codacy,internal/storage/storage_block_reader_test.go,415,triaged,S3,packed-storage,defer,Phase 7,v1.10.3 candidate issue linked from selected matrix row
CK-110-1358,CK-110-M060,File internal/storage/storage_block_reader_test.go has 1008 non-comment lines of code,codacy,internal/storage/storage_block_reader_test.go,1,triaged,S3,packed-storage,defer,Phase 7,v1.10.3 candidate issue linked from selected matrix row
CK-110-1364,CK-110-M060,Method TestStorageBlockReaderLoadBlockMetadataRejectsInvalidCompressionContract has 56 lines of code (limit is,codacy,internal/storage/storage_block_reader_test.go,266,triaged,S3,packed-storage,defer,Phase 7,v1.10.3 candidate issue linked from selected matrix row
